City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Danielskuil,ZA,-28.19,23.54,55.92,39,0,7.25,clear sky
189,Aklavik,CA,68.22,-135.01,60.8,72,75,9.17,broken clouds
190,Pizarro,CO,4.95,-77.37,80.28,85,77,9.8,light rain
191,Bobcaygeon,CA,44.55,-78.54,84.2,51,1,5.82,clear sky
192,Sitka,US,57.05,-135.33,55.4,93,90,3.36,light rain
193,Sioux Lookout,CA,50.1,-91.92,71.6,83,90,8.05,overcast clouds
194,Kavieng,PG,-2.57,150.8,77.72,89,100,9.93,light rain
195,Lebanon,US,36.21,-86.29,82.4,65,75,3.58,broken clouds
196,Ust-Nera,RU,64.57,143.2,36.88,74,100,6.04,overcast clouds
197,Minab,IR,27.15,57.08,89.6,70,0,4.7,clear sky
198,Tessalit,ML,20.2,1.01,97.43,25,27,19.44,light rain
199,Malabo,GQ,3.75,8.78,76.03,84,100,12.1,light rain
200,Vestmanna,FO,62.16,-7.17,48.2,76,70,13.87,broken clouds
201,Rawson,AR,-43.3,-65.1,64.85,28,78,7.02,broken clouds
202,Tuy Hoa,VN,13.08,109.3,78.91,83,98,5.88,overcast clouds
203,Hammerfest,NO,70.66,23.68,51.8,100,75,24.16,broken clouds
204,Findlay,US,41.04,-83.65,86.0,45,1,6.93,clear sky
205,San Vicente,AR,-26.62,-54.13,66.67,52,0,5.48,clear sky
206,Cortez,US,37.35,-108.59,87.01,26,80,1.99,broken clouds
207,Horadiz,AZ,39.45,47.34,60.8,87,90,6.93,overcast clouds
208,Ujhani,IN,28.02,79.02,80.69,80,8,7.9,clear sky
209,Coquimbo,CL,-29.95,-71.34,55.4,66,90,18.34,overcast clouds
210,Sennoy,RU,52.15,46.96,58.62,71,21,2.62,few clouds
211,Fortuna,US,40.6,-124.16,60.01,93,90,6.93,overcast clouds
212,Wagar,SD,16.15,36.2,93.61,41,34,13.2,light rain
213,Tambopata,PE,-12.73,-69.18,78.8,50,0,5.82,clear sky
214,San Felipe,VE,10.34,-68.74,88.84,51,67,2.19,broken clouds
215,Kruisfontein,ZA,-34.0,24.73,57.0,82,27,1.99,scattered clouds
216,Cidreira,BR,-30.18,-50.21,62.1,69,0,15.43,clear sky
217,Mecca,SA,21.43,39.83,93.6,24,20,4.92,few clouds
218,Tucuman,AR,-26.82,-65.22,71.6,24,88,4.7,smoke
219,Chokurdakh,RU,70.63,147.92,32.47,96,96,9.06,overcast clouds
220,Chabahar,IR,25.29,60.64,82.58,83,77,8.21,broken clouds
221,Mangai,CD,-4.05,19.53,76.68,81,98,2.19,light rain
222,Stephenville,US,32.22,-98.2,90.0,33,1,6.53,clear sky
223,Cleburne,US,32.35,-97.39,93.99,33,1,8.05,clear sky
224,Oktyabrskoye,RU,43.06,44.74,59.0,93,91,2.24,light rain
225,Beshpagir,RU,45.02,42.38,68.0,34,40,6.71,scattered clouds
226,Hobyo,SO,5.35,48.53,76.12,78,44,24.81,scattered clouds
227,Lilongwe,MW,-13.97,33.79,66.58,56,73,3.83,broken clouds
228,Provideniya,RU,64.38,-173.3,49.86,91,98,5.01,light rain
229,Lagoa,PT,39.05,-27.98,73.81,88,37,15.46,scattered clouds
230,Kaitangata,NZ,-46.28,169.85,53.01,89,97,15.99,overcast clouds
231,Aljezur,PT,37.32,-8.8,73.0,68,0,4.0,clear sky
232,Mbuji-Mayi,CD,-6.15,23.6,78.84,61,98,4.79,overcast clouds
233,Pervomayskoye,RU,43.92,46.71,68.67,43,82,5.28,broken clouds
234,Kapaa,US,22.08,-159.32,80.6,78,40,11.41,scattered clouds
235,Ewa Beach,US,21.32,-158.01,82.0,78,1,3.36,clear sky
236,Kemijarvi,FI,66.71,27.43,58.24,82,83,11.1,broken clouds
237,Ranong,TH,9.97,98.63,79.39,78,64,5.17,broken clouds
238,Korla,CN,41.76,86.15,86.0,54,17,3.0,few clouds
239,Tura,IN,25.52,90.22,74.43,95,61,4.12,moderate rain
240,Dunedin,NZ,-45.87,170.5,48.99,96,100,13.73,light rain
241,Hofn,IS,64.25,-15.21,57.2,67,75,5.82,broken clouds
242,Ampanihy,MG,-24.7,44.75,68.25,74,10,6.22,clear sky
243,Syracuse,IT,37.09,15.28,86.0,74,0,11.41,clear sky
244,Rudsar,IR,37.14,50.29,66.2,100,90,4.7,light rain
245,Thompson,CA,55.74,-97.86,48.2,100,90,6.93,light rain
246,Bengkulu,ID,-3.8,102.27,76.53,88,96,4.74,overcast clouds
