City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Mocuba,MZ,2020-08-23 03:04:00,-16.84,36.99,63.46,87,84,4.0
133,Fare,PF,2020-08-23 03:04:01,-16.7,-151.02,76.48,80,32,20.02
134,Glendive,US,2020-08-23 03:04:01,47.11,-104.71,84.2,26,1,9.17
135,Imbituba,BR,2020-08-23 03:04:02,-28.24,-48.67,51.8,81,28,1.12
136,Norman Wells,CA,2020-08-23 03:04:02,65.28,-126.83,69.8,46,20,11.41
137,Katangli,RU,2020-08-23 03:04:02,51.71,143.23,59.31,88,81,9.33
138,Thunder Bay,CA,2020-08-23 03:00:42,48.4,-89.32,66.0,100,90,4.7
139,Safaga,EG,2020-08-23 03:04:03,26.73,33.94,82.4,45,0,9.17
140,Soma,TR,2020-08-23 03:04:03,39.19,27.61,77.0,88,0,7.16
141,North Bend,US,2020-08-23 03:04:04,43.41,-124.22,68.0,72,1,20.8
142,Oriximina,BR,2020-08-23 03:00:38,-1.77,-55.87,83.98,47,83,2.01
143,Cidreira,BR,2020-08-23 03:04:05,-30.18,-50.21,54.21,77,0,7.34
144,Coihaique,CL,2020-08-23 03:01:43,-45.58,-72.07,46.4,65,100,6.93
145,Katsuura,JP,2020-08-23 03:04:05,35.13,140.3,81.0,79,100,1.99
146,Miraflores,MX,2020-08-23 03:04:06,19.22,-98.81,66.2,55,5,17.22
147,Pokhara,NP,2020-08-23 03:03:02,28.23,83.98,77.38,75,47,2.93
148,Caravelas,BR,2020-08-23 03:04:07,-17.71,-39.25,69.8,91,100,16.55
149,Ponta Do Sol,PT,2020-08-23 03:04:07,32.67,-17.1,73.4,73,20,13.87
150,Omboue,GA,2020-08-23 03:04:08,-1.57,9.26,73.02,82,99,5.77
151,Victoria,HK,2020-08-23 03:04:09,22.29,114.16,91.99,59,21,5.99
152,Ketchikan,US,2020-08-23 03:04:09,55.34,-131.65,55.4,100,90,13.87
153,Pangnirtung,CA,2020-08-23 03:04:10,66.15,-65.71,49.08,67,34,1.12
154,Moranbah,AU,2020-08-23 03:04:11,-22.0,148.05,68.95,24,0,9.53
155,Bambanglipuro,ID,2020-08-23 03:04:11,-7.95,110.28,85.23,62,26,11.45
156,Vatava,RO,2020-08-23 03:04:12,46.97,24.77,57.2,93,0,3.56
157,Itarema,BR,2020-08-23 03:04:12,-2.92,-39.92,77.13,85,8,15.23
158,Esperance,AU,2020-08-23 03:00:08,-33.87,121.9,60.8,82,63,13.87
159,Kurilsk,RU,2020-08-23 03:04:13,45.23,147.88,63.97,55,100,10.71
160,Miramar,US,2020-08-23 03:04:13,25.99,-80.23,86.0,79,1,9.17
161,Tuatapere,NZ,2020-08-23 03:04:14,-46.13,167.68,57.0,73,95,5.01
162,Havelock,US,2020-08-23 03:04:14,34.88,-76.9,81.0,78,1,4.7
163,Stornoway,GB,2020-08-23 03:04:14,58.21,-6.39,51.01,93,29,8.05
164,Tamandare,BR,2020-08-23 03:04:15,-8.76,-35.1,73.71,84,0,7.72
165,Deputatskiy,RU,2020-08-23 03:04:16,69.3,139.9,36.63,82,99,2.53
166,Kloulklubed,PW,2020-08-23 03:04:16,7.04,134.26,84.06,62,15,1.34
167,Yulara,AU,2020-08-23 03:04:16,-25.24,130.99,69.8,26,0,8.05
168,Puerto Escondido,MX,2020-08-23 03:04:17,15.85,-97.07,80.6,77,100,3.65
169,Maltahohe,NA,2020-08-23 03:04:17,-24.83,16.98,41.16,68,0,2.53
170,Mamallapuram,IN,2020-08-23 03:04:17,12.63,80.17,82.4,83,75,6.93
171,Wagar,SD,2020-08-23 03:04:18,16.15,36.2,81.09,59,16,12.88
172,Severo-Kurilsk,RU,2020-08-23 03:04:18,50.68,156.12,56.97,59,8,11.61
173,Lat Yao,TH,2020-08-23 03:04:19,15.75,99.79,85.89,69,92,6.87
174,Salalah,OM,2020-08-23 03:02:27,17.02,54.09,75.2,100,90,6.93
175,Micco,US,2020-08-23 03:04:19,27.88,-80.5,82.0,84,100,10.85
176,Tarapur,IN,2020-08-23 03:04:20,19.85,72.7,81.77,84,100,20.2
177,Palmerston,AU,2020-08-23 03:04:20,-12.49,130.98,91.0,33,0,10.29
178,Novochernorechenskiy,RU,2020-08-23 03:04:21,56.27,91.08,61.16,74,0,5.03
179,Batemans Bay,AU,2020-08-23 03:03:49,-35.72,150.18,62.01,46,43,5.99
180,Husavik,IS,2020-08-23 03:04:22,66.04,-17.34,44.6,87,72,1.81
181,Broome,US,2020-08-23 03:04:22,42.25,-75.83,71.6,73,1,4.7
182,Petropavlovsk-Kamchatskiy,RU,2020-08-23 03:04:23,53.05,158.65,66.2,39,18,17.9
183,Lauria,IT,2020-08-23 03:04:23,40.05,15.84,73.0,52,0,1.23
184,Sao Joao Da Barra,BR,2020-08-23 03:02:43,-21.64,-41.05,64.45,77,61,12.26
185,Kargasok,RU,2020-08-23 03:04:24,59.06,80.86,56.71,93,99,5.61
186,Sitka,US,2020-08-23 02:59:48,57.05,-135.33,59.0,82,90,4.7
187,Sao Filipe,CV,2020-08-23 03:04:25,14.9,-24.5,78.71,79,35,3.4
188,Turukhansk,RU,2020-08-23 03:04:25,65.82,87.98,56.75,93,100,6.89
189,Codrington,AU,2020-08-23 03:04:26,-38.27,141.97,51.03,68,92,18.97
190,Shellbrook,CA,2020-08-23 03:04:27,53.22,-106.4,69.8,77,40,9.17
191,Leshukonskoye,RU,2020-08-23 03:04:27,64.9,45.76,56.86,93,21,4.38
192,Aykhal,RU,2020-08-23 03:04:27,66.0,111.5,55.4,50,0,2.24
193,Provideniya,RU,2020-08-23 03:04:28,64.38,-173.3,52.14,79,100,5.77
194,Ust-Kulom,RU,2020-08-23 03:04:28,61.69,53.69,52.65,83,14,2.73
195,Sao Paulo De Olivenca,BR,2020-08-23 03:04:29,-3.38,-68.87,66.29,73,68,1.9
196,Gravdal,NO,2020-08-23 03:04:29,68.12,13.5,56.5,88,83,14.05
197,Praia,CV,2020-08-23 03:04:02,14.92,-23.51,80.6,74,20,3.36
198,Poum,NC,2020-08-23 03:04:30,-20.23,164.02,72.72,72,86,12.86
199,Zhigansk,RU,2020-08-23 03:04:30,66.77,123.37,48.74,57,70,20.29
200,Dunedin,NZ,2020-08-23 03:03:12,-45.87,170.5,48.99,93,100,1.99
201,Rawlins,US,2020-08-23 03:04:31,41.79,-107.24,81.0,13,1,5.82
